model_name,input_sentence,generated_output
fine_tuned_t5_moh_x,"The ocean [MASK] against the cliffs, roaring its eternal song.","The ocean drifted against the cliffs, roaring its eternal song."
fine_tuned_t5_moh_x,The garden [MASK] with colors as the flowers greeted the sun.,The garden grew with colors as the flowers greeted the sun.
fine_tuned_t5_moh_x,"The airplane [MASK] through the sky, leaving a trail of whispers behind.","The airplane drifted through the sky, leaving a trail of whispers behind."
fine_tuned_t5_moh_x,"The dog [MASK] through the field, a blur of fur and joy.","The dog crawled through the field, a blur of fur and joy."
fine_tuned_t5_moh_x,The sky [MASK] a mosaic of pink and orange as the day turned to night.,The sky absorbed a mosaic of pink and orange as the day turned to night.
fine_tuned_t5_moh_x,"The rain [MASK] on the roof, a rhythmic lullaby to the weary.","The rain clouded on the roof, a rhythmic lullaby to the weary."
fine_tuned_t5_moh_x,"The path [MASK] through the forest, inviting travelers into its mystery.","The path drifted through the forest, inviting travelers into its mystery."
fine_tuned_t5_moh_x,"The flame [MASK] in the lantern, a quiet guardian of the night.","The flame clogged in the lantern, a quiet guardian of the night."
fine_tuned_t5_moh_x,"The snow [MASK] the rooftops, wrapping the world in a pristine blanket.","The snow melted the rooftops, wrapping the world in a pristine blanket."
fine_tuned_t5_moh_x,The riverbank [MASK] with laughter as children played by the water.,The riverbank grew with laughter as children played by the water.
fine_tuned_t5_moh_x,"The bridge [MASK] the past and the future, connecting time and space.","The bridge anchored the past and the future, connecting time and space."
fine_tuned_t5_moh_x,"The stars [MASK] in the velvet night, guardians of ancient stories.","The stars crawled in the velvet night, guardians of ancient stories."
fine_tuned_t5_moh_x,"The old photo [MASK] on the mantelpiece, a silent witness to forgotten times.","The old photo bounced on the mantelpiece, a silent witness to forgotten times."
fine_tuned_t5_moh_x,"The moon [MASK] the lake’s surface, a spotlight for the nocturnal world.","The moon clogged the lake’s surface, a spotlight for the nocturnal world."
fine_tuned_t5_moh_x,"The clouds [MASK] their burden on the earth, nourishing the soil below.","The clouds devoured their burden on the earth, nourishing the soil below."
fine_tuned_t5_moh_x,"The tree [MASK] its shadow on the ground, a refuge from the blazing sun.","The tree devoured its shadow on the ground, a refuge from the blazing sun."
fine_tuned_t5_moh_x,The library [MASK] a treasure trove of forgotten worlds and unseen adventures.,The library devoured a treasure trove of forgotten worlds and unseen adventures.
fine_tuned_t5_moh_x,"The clock tower [MASK] its chime, marking the march of time.","The clock tower clogged its chime, marking the march of time."
fine_tuned_t5_moh_x,The musician [MASK] the silence with notes that danced in the air.,The musician digested the silence with notes that danced in the air.
fine_tuned_t5_moh_x,"The lighthouse [MASK] the sailors home, a beacon of hope in the dark.","The lighthouse devoured the sailors home, a beacon of hope in the dark."
fine_tuned_t5_moh_x,The fields [MASK] a golden sea as the wheat swayed with the breeze.,The fields drained a golden sea as the wheat swayed with the breeze.
fine_tuned_t5_moh_x,"The kite [MASK] the sky, tethered yet free.","The kite drained the sky, tethered yet free."
